1,1014,0.9702989999999999,-20.0,0,-20.0
2,816,0.96059601,-21.0,0,-20.5
3,1048,0.9414801494009999,-21.0,0,-20.666666666666668
4,1120,0.9135172474836407,-19.0,0,-20.25
5,845,0.9043820750088043,-21.0,0,-20.4
6,836,0.8863848717161291,-20.0,0,-20.333333333333332
7,815,0.8687458127689781,-21.0,0,-20.428571428571427
8,1206,0.8514577710948754,-19.0,0,-20.25
9,816,0.8345137614500874,-21.0,0,-20.333333333333332
10,1198,0.8179069375972307,-19.0,0,-20.2
60,1817,0.19046145976502743,-13.0,tensor(13.0798, device='cuda:0', grad_fn=<AddBackward0>),-18.116666666666667
61,2073,0.18295651830906087,-14.0,tensor(13.7403, device='cuda:0', grad_fn=<AddBackward0>),-18.049180327868854
62,2209,0.17398982847626407,-13.0,tensor(13.3750, device='cuda:0', grad_fn=<AddBackward0>),-17.967741935483872
63,2225,0.16713393501488363,-12.0,tensor(13.0576, device='cuda:0', grad_fn=<AddBackward0>),-17.873015873015873
64,1855,0.1605481911108965,-17.0,tensor(11.4935, device='cuda:0', grad_fn=<AddBackward0>),-17.859375
65,2052,0.15422195179384465,-14.0,tensor(11.7856, device='cuda:0', grad_fn=<AddBackward0>),-17.8
66,1841,0.1481449915475795,-17.0,tensor(11.1655, device='cuda:0', grad_fn=<AddBackward0>),-17.78787878787879
67,1972,0.14374493715362485,-15.0,tensor(11.1834, device='cuda:0', grad_fn=<AddBackward0>),-17.746268656716417
68,2170,0.13670000495659804,-17.0,tensor(11.8010, device='cuda:0', grad_fn=<AddBackward0>),-17.735294117647058
69,2213,0.1313134793282883,-10.0,tensor(12.5609, device='cuda:0', grad_fn=<AddBackward0>),-17.6231884057971
70,2336,0.12487781225895152,-11.0,tensor(12.4433, device='cuda:0', grad_fn=<AddBackward0>),-17.52857142857143
71,1728,0.1211688163570484,-16.0,tensor(10.3745, device='cuda:0', grad_fn=<AddBackward0>),-17.507042253521128
72,1411,0.11756998134242772,-20.0,tensor(8.6674, device='cuda:0', grad_fn=<AddBackward0>),-17.541666666666668
73,1983,0.11293725497331052,-18.0,tensor(11.9212, device='cuda:0', grad_fn=<AddBackward0>),-17.54794520547945
74,2349,0.1074022057426376,-10.0,tensor(12.9835, device='cuda:0', grad_fn=<AddBackward0>),-17.445945945945947
75,2083,0.10317013030157676,-14.0,tensor(11.9787, device='cuda:0', grad_fn=<AddBackward0>),-17.4
76,2177,0.09910481551887473,-13.0,tensor(12.6243, device='cuda:0', grad_fn=<AddBackward0>),-17.342105263157894
77,1946,0.09519969035921715,-14.0,tensor(11.3039, device='cuda:0', grad_fn=<AddBackward0>),-17.2987012987013
78,2097,0.09053395828517646,-15.0,tensor(11.5553, device='cuda:0', grad_fn=<AddBackward0>),-17.26923076923077
79,1726,0.08784500919014843,-15.0,tensor(10.5724, device='cuda:0', grad_fn=<AddBackward0>),-17.240506329113924
80,2271,0.0835397296732052,-11.0,tensor(13.5495, device='cuda:0', grad_fn=<AddBackward0>),-17.1625
81,2416,0.08024793100055952,-11.0,tensor(15.1537, device='cuda:0', grad_fn=<AddBackward0>),-17.08641975308642
82,2026,0.07708584232989277,-14.0,tensor(12.7103, device='cuda:0', grad_fn=<AddBackward0>),-17.048780487804876
